Topic,Word,P
0,diesel,7
0,experience,6
0,feature,6
0,airbag,6
0,safety,5
0,sunroof,5
0,give,4
0,drive,4
0,Kia,3
0,seltos,3
1,car,100
1,performance,81
1,look,39
1,feature,39
1,safety,28
1,suv,18
1,drive,18
1,engine,18
1,family,16
1,price,13
5,ground,18
5,clearance,18
5,look,10
5,interior,3
5,color,3
5,like,3
5,road,2
5,angle,2
5,SUV,2
5,superb,2
7,seat,17
7,feel,12
7,thigh,7
7,support,7
7,comfort,7
7,adult,3
7,sit,3
7,journey,3
7,row,2
7,driver,2
8,seat,30
8,feature,29
8,sunroof,27
8,ventilate,17
8,wireless,17
8,like,16
8,etc,12
8,charge,12
8,love,10
8,car,9
13,l1,1
13,coolest,1
13,set,1
13,temperature,1
13,degree,1
13,car,1
14,tata,4
14,harrier,3
14,expect,2
14,consider,2
14,vehicle,2
14,build,2
14,quality,2
14,performance,2
14,price,2
14,car,1
15,feature,19
15,safety,14
15,control,11
15,airbag,11
15,like,7
15,parking,7
15,traction,6
15,ebd,6
15,model,5
15,abs,5
17,space,36
17,performance,28
17,boot,27
17,car,21
17,engine,15
17,seat,12
17,ground,11
17,clearance,11
17,drive,9
17,like,8
21,quality,44
21,build,34
21,car,28
21,look,14
21,feature,9
21,price,8
21,power,5
21,engine,5
21,Mahindra,5
21,compass,5
22,road,51
22,presence,39
22,look,25
22,car,17
22,quality,15
22,build,10
22,well,8
22,performance,7
22,ride,7
22,exterior,5
23,sunroof,7
23,parking,6
23,like,5
23,glass,5
23,sensor,5
23,camera,4
23,screen,4
23,system,3
23,feature,3
23,touch,3
24,cost,20
24,maintenance,12
24,service,7
24,sunroof,7
24,feel,4
24,bit,3
24,n,2
24,servicing,2
24,pocket,2
24,suv,2
32,come,4
32,feature,3
32,add,3
32,value,2
32,Skoda,2
32,seat,2
32,like,2
32,ac,2
32,comfort,2
32,fact,1
33,car,51
33,sunroof,32
33,look,27
33,price,18
33,range,15
33,drive,10
33,feel,9
33,family,8
33,interior,8
33,like,8
35,space,10
35,boot,7
35,feel,4
35,find,3
35,case,3
35,liter,2
35,number,2
35,Creta,2
35,seating,2
35,design,1
36,system,40
36,music,18
36,car,13
36,sound,10
36,feature,6
36,look,6
36,month,3
36,time,3
36,bose,3
36,service,3
40,cost,5
40,%,4
40,price,3
40,+,3
40,goodwill,2
40,gesture,2
40,compare,2
40,tire,2
40,country,2
40,maintainance,1
41,roof,1
41,travel,1
41,need,1
41,fix,1
41,carrier,1
41,spoil,1
41,look,1
41,XUV,1
